t,i,j,C1,C2
228.0,654,694,PC,PC
229.0,609,690,PC,PC
229.0,1622,1657,MP*1,MP*1
229.0,1108,1601,MP*1,MP*1
229.0,636,643,PC,PC
230.0,1622,1657,MP*1,MP*1
230.0,1164,1657,MP*1,MP*1
230.0,636,643,PC,PC
230.0,609,690,PC,PC
230.0,1170,1672,MP*1,MP*1
230.0,654,694,PC,PC
231.0,609,690,PC,PC
231.0,1622,1657,MP*1,MP*1
231.0,1164,1657,MP*1,MP*1
231.0,1649,1657,MP*1,MP*1
231.0,636,643,PC,PC
232.0,1622,1657,MP*1,MP*1
232.0,1164,1657,MP*1,MP*1
232.0,636,643,PC,PC
232.0,654,694,PC,PC
233.0,851,855,PSI*,PSI*
233.0,636,643,PC,PC
233.0,654,694,PC,PC
234.0,1622,1657,MP*1,MP*1
234.0,1164,1657,MP*1,MP*1
234.0,1632,1671,MP*1,MP*1
234.0,654,694,PC,PC
235.0,841,848,PSI*,PSI*
235.0,1164,1657,MP*1,MP*1
235.0,1622,1657,MP*1,MP*1
235.0,1632,1671,MP*1,MP*1
235.0,654,694,PC,PC
236.0,1622,1657,MP*1,MP*1
236.0,1164,1657,MP*1,MP*1
236.0,851,856,PSI*,PSI*
236.0,841,848,PSI*,PSI*
236.0,683,692,PC,PC
236.0,851,855,PSI*,PSI*
236.0,654,694,PC,PC
237.0,841,848,PSI*,PSI*
237.0,613,658,PC,PC
237.0,1622,1657,MP*1,MP*1
238.0,841,848,PSI*,PSI*
238.0,867,868,PSI*,PSI*
239.0,851,856,PSI*,PSI*
239.0,683,692,PC,PC
239.0,841,848,PSI*,PSI*
239.0,1164,1657,MP*1,MP*1
239.0,851,855,PSI*,PSI*
240.0,1164,1657,MP*1,MP*1
240.0,1622,1657,MP*1,MP*1
240.0,1108,1601,MP*1,MP*1
240.0,610,658,PC,PC
241.0,1622,1657,MP*1,MP*1
241.0,613,658,PC,PC
241.0,1108,1601,MP*1,MP*1
241.0,1632,1671,MP*1,MP*1
241.0,851,856,PSI*,PSI*
241.0,841,848,PSI*,PSI*
241.0,1164,1657,MP*1,MP*1
241.0,851,855,PSI*,PSI*
242.0,851,856,PSI*,PSI*
242.0,613,658,PC,PC
242.0,1108,1601,MP*1,MP*1
242.0,1613,1672,MP*1,MP*1
242.0,1164,1657,MP*1,MP*1
243.0,1622,1657,MP*1,MP*1
243.0,613,658,PC,PC
243.0,1164,1657,MP*1,MP*1
243.0,1108,1601,MP*1,MP*1
243.0,1632,1671,MP*1,MP*1
243.0,609,690,PC,PC
243.0,683,692,PC,PC
243.0,1613,1672,MP*1,MP*1
244.0,609,690,PC,PC
244.0,613,658,PC,PC
244.0,1108,1601,MP*1,MP*1
244.0,1632,1671,MP*1,MP*1
244.0,1164,1657,MP*1,MP*1
245.0,1622,1657,MP*1,MP*1
245.0,1164,1657,MP*1,MP*1
245.0,613,658,PC,PC
245.0,1632,1671,MP*1,MP*1
245.0,683,692,PC,PC
245.0,600,609,PC,PC
245.0,1108,1601,MP*1,MP*1
246.0,1108,1601,MP*1,MP*1
246.0,1622,1657,MP*1,MP*1
246.0,683,692,PC,PC
246.0,613,658,PC,PC
246.0,1164,1657,MP*1,MP*1
247.0,1108,1601,MP*1,MP*1
247.0,1622,1657,MP*1,MP*1
247.0,613,658,PC,PC
247.0,1613,1672,MP*1,MP*1
248.0,613,658,PC,PC
248.0,1622,1657,MP*1,MP*1
248.0,1164,1657,MP*1,MP*1
248.0,654,694,PC,PC
249.0,1622,1657,MP*1,MP*1
249.0,613,658,PC,PC
249.0,1164,1657,MP*1,MP*1
249.0,609,690,PC,PC
249.0,1613,1672,MP*1,MP*1
249.0,867,868,PSI*,PSI*
250.0,609,690,PC,PC
250.0,1164,1657,MP*1,MP*1
250.0,1622,1657,MP*1,MP*1
250.0,613,658,PC,PC
251.0,609,690,PC,PC
251.0,613,658,PC,PC
251.0,1622,1657,MP*1,MP*1
251.0,1164,1657,MP*1,MP*1
251.0,1108,1601,MP*1,MP*1
252.0,1622,1657,MP*1,MP*1
252.0,1164,1657,MP*1,MP*1
252.0,613,658,PC,PC
252.0,1632,1671,MP*1,MP*1
252.0,609,690,PC,PC
252.0,683,692,PC,PC
253.0,609,690,PC,PC
253.0,613,658,PC,PC
253.0,1622,1657,MP*1,MP*1
253.0,1108,1601,MP*1,MP*1
253.0,1632,1671,MP*1,MP*1
254.0,600,609,PC,PC
254.0,1164,1657,MP*1,MP*1
254.0,1622,1657,MP*1,MP*1
254.0,867,868,PSI*,PSI*
254.0,613,658,PC,PC
255.0,1622,1657,MP*1,MP*1
255.0,1164,1657,MP*1,MP*1
255.0,613,658,PC,PC
255.0,1632,1671,MP*1,MP*1
255.0,609,690,PC,PC
255.0,1108,1601,MP*1,MP*1
256.0,1622,1657,MP*1,MP*1
256.0,613,658,PC,PC
256.0,1164,1657,MP*1,MP*1
256.0,609,690,PC,PC
256.0,1108,1601,MP*1,MP*1
256.0,867,868,PSI*,PSI*
256.0,654,694,PC,PC
257.0,1622,1657,MP*1,MP*1
257.0,1108,1601,MP*1,MP*1
257.0,613,658,PC,PC
257.0,609,690,PC,PC
257.0,1164,1657,MP*1,MP*1
257.0,654,694,PC,PC
258.0,1622,1657,MP*1,MP*1
258.0,1164,1657,MP*1,MP*1
258.0,613,658,PC,PC
258.0,1632,1671,MP*1,MP*1
258.0,609,690,PC,PC
258.0,851,855,PSI*,PSI*
258.0,1190,1658,MP*1,MP*1
258.0,867,868,PSI*,PSI*
259.0,609,690,PC,PC
259.0,1164,1657,MP*1,MP*1
259.0,613,658,PC,PC
259.0,600,613,PC,PC
260.0,1622,1657,MP*1,MP*1
260.0,613,658,PC,PC
260.0,1164,1657,MP*1,MP*1
260.0,609,690,PC,PC
260.0,1108,1601,MP*1,MP*1
260.0,851,855,PSI*,PSI*
260.0,1190,1658,MP*1,MP*1
261.0,1622,1657,MP*1,MP*1
261.0,1164,1657,MP*1,MP*1
261.0,613,658,PC,PC
261.0,609,690,PC,PC
261.0,851,855,PSI*,PSI*
261.0,1190,1658,MP*1,MP*1
262.0,609,690,PC,PC
262.0,1164,1657,MP*1,MP*1
262.0,1622,1657,MP*1,MP*1
262.0,867,868,PSI*,PSI*
262.0,613,658,PC,PC
263.0,1622,1657,MP*1,MP*1
263.0,1164,1657,MP*1,MP*1
264.0,1622,1657,MP*1,MP*1
264.0,867,868,PSI*,PSI*
265.0,1622,1657,MP*1,MP*1
265.0,1164,1657,MP*1,MP*1
266.0,867,868,PSI*,PSI*
266.0,1622,1657,MP*1,MP*1
266.0,1164,1657,MP*1,MP*1
266.0,654,694,PC,PC
267.0,1108,1613,MP*1,MP*1
267.0,1164,1657,MP*1,MP*1
267.0,1622,1657,MP*1,MP*1
267.0,867,868,PSI*,PSI*
268.0,1164,1657,MP*1,MP*1
268.0,1622,1657,MP*1,MP*1
268.0,867,868,PSI*,PSI*
268.0,851,855,PSI*,PSI*
269.0,851,855,PSI*,PSI*
269.0,1622,1657,MP*1,MP*1
269.0,1164,1657,MP*1,MP*1
269.0,867,868,PSI*,PSI*
270.0,1622,1657,MP*1,MP*1
270.0,1164,1657,MP*1,MP*1
270.0,1632,1671,MP*1,MP*1
270.0,867,868,PSI*,PSI*
270.0,654,694,PC,PC
271.0,851,855,PSI*,PSI*
271.0,1622,1657,MP*1,MP*1
271.0,1164,1657,MP*1,MP*1
271.0,867,868,PSI*,PSI*
272.0,609,690,PC,PC
272.0,1622,1657,MP*1,MP*1
272.0,867,868,PSI*,PSI*
273.0,1622,1657,MP*1,MP*1
273.0,1632,1671,MP*1,MP*1
273.0,609,690,PC,PC
273.0,867,868,PSI*,PSI*
273.0,654,694,PC,PC
274.0,609,690,PC,PC
274.0,1622,1657,MP*1,MP*1
274.0,867,868,PSI*,PSI*
274.0,1632,1671,MP*1,MP*1
275.0,1622,1657,MP*1,MP*1
275.0,1632,1671,MP*1,MP*1
275.0,626,698,PC,PC
275.0,851,855,PSI*,PSI*
275.0,867,868,PSI*,PSI*
276.0,1622,1657,MP*1,MP*1
276.0,867,868,PSI*,PSI*
276.0,1632,1671,MP*1,MP*1
276.0,626,698,PC,PC
277.0,1622,1657,MP*1,MP*1
277.0,867,868,PSI*,PSI*
277.0,1632,1671,MP*1,MP*1
278.0,1622,1657,MP*1,MP*1
278.0,867,868,PSI*,PSI*
278.0,1632,1671,MP*1,MP*1
279.0,1622,1657,MP*1,MP*1
279.0,600,613,PC,PC
279.0,1632,1671,MP*1,MP*1
279.0,600,609,PC,PC
279.0,867,868,PSI*,PSI*
280.0,600,609,PC,PC
280.0,1622,1657,MP*1,MP*1
280.0,867,868,PSI*,PSI*
280.0,1632,1671,MP*1,MP*1
281.0,1622,1657,MP*1,MP*1
281.0,1632,1671,MP*1,MP*1
282.0,1622,1657,MP*1,MP*1
283.0,1622,1657,MP*1,MP*1
283.0,867,868,PSI*,PSI*
284.0,867,868,PSI*,PSI*
285.0,600,613,PC,PC
285.0,1622,1657,MP*1,MP*1
285.0,613,658,PC,PC
285.0,867,868,PSI*,PSI*
286.0,600,613,PC,PC
286.0,1622,1657,MP*1,MP*1
286.0,613,658,PC,PC
286.0,867,868,PSI*,PSI*
287.0,600,613,PC,PC
287.0,1622,1657,MP*1,MP*1
287.0,613,658,PC,PC
287.0,867,868,PSI*,PSI*
288.0,1622,1657,MP*1,MP*1
288.0,600,613,PC,PC
288.0,613,658,PC,PC
288.0,1613,1672,MP*1,MP*1
288.0,867,868,PSI*,PSI*
289.0,1622,1657,MP*1,MP*1
289.0,613,658,PC,PC
289.0,600,613,PC,PC
289.0,1649,1657,MP*1,MP*1
289.0,867,868,PSI*,PSI*
290.0,1144,1662,MP*1,MP*1
290.0,1622,1657,MP*1,MP*1
290.0,600,613,PC,PC
290.0,613,658,PC,PC
290.0,867,868,PSI*,PSI*
291.0,1144,1662,MP*1,MP*1
291.0,1622,1657,MP*1,MP*1
291.0,613,658,PC,PC
291.0,600,613,PC,PC
291.0,616,661,PC,PC
291.0,867,868,PSI*,PSI*
292.0,600,613,PC,PC
292.0,1622,1657,MP*1,MP*1
292.0,613,658,PC,PC
292.0,654,694,PC,PC
293.0,851,855,PSI*,PSI*
293.0,1622,1657,MP*1,MP*1
293.0,600,613,PC,PC
293.0,867,868,PSI*,PSI*
294.0,613,658,PC,PC
294.0,1622,1657,MP*1,MP*1
294.0,616,661,PC,PC
294.0,600,613,PC,PC
295.0,1108,1613,MP*1,MP*1
295.0,1622,1657,MP*1,MP*1
295.0,600,613,PC,PC
295.0,616,661,PC,PC
295.0,1170,1672,MP*1,MP*1
296.0,1622,1657,MP*1,MP*1
296.0,613,658,PC,PC
296.0,1164,1657,MP*1,MP*1
296.0,616,661,PC,PC
296.0,1170,1672,MP*1,MP*1
296.0,600,613,PC,PC
297.0,1622,1657,MP*1,MP*1
297.0,613,658,PC,PC
297.0,616,661,PC,PC
297.0,1164,1657,MP*1,MP*1
297.0,600,613,PC,PC
298.0,1622,1657,MP*1,MP*1
298.0,616,661,PC,PC
298.0,600,613,PC,PC
298.0,1164,1657,MP*1,MP*1
298.0,1170,1672,MP*1,MP*1
298.0,1671,1672,MP*1,MP*1
299.0,616,661,PC,PC
299.0,1622,1657,MP*1,MP*1
299.0,1164,1657,MP*1,MP*1
299.0,1632,1671,MP*1,MP*1
300.0,616,661,PC,PC
300.0,613,658,PC,PC
300.0,1164,1657,MP*1,MP*1
301.0,613,658,PC,PC
301.0,1164,1657,MP*1,MP*1
301.0,1632,1671,MP*1,MP*1
301.0,616,661,PC,PC
302.0,616,661,PC,PC
302.0,613,658,PC,PC
302.0,1632,1671,MP*1,MP*1
302.0,654,694,PC,PC
303.0,1622,1657,MP*1,MP*1
303.0,613,658,PC,PC
303.0,616,661,PC,PC
303.0,1164,1657,MP*1,MP*1
303.0,654,694,PC,PC
304.0,613,658,PC,PC
