t,i,j
112.0,65,37
112.0,12,23
112.0,4,84
114.0,34,14
114.0,4,84
114.0,78,38
114.0,12,23
115.0,4,84
115.0,34,14
115.0,78,38
116.0,34,14
116.0,28,36
116.0,78,38
116.0,67,51
117.0,12,23
117.0,34,14
117.0,12,52
117.0,28,36
117.0,67,51
117.0,23,52
117.0,66,23
118.0,34,14
118.0,67,51
118.0,28,36
118.0,81,29
119.0,43,11
119.0,65,37
119.0,55,62
119.0,28,36
120.0,43,11
120.0,61,76
120.0,28,36
121.0,34,14
121.0,66,23
121.0,46,26
121.0,55,62
121.0,4,84
121.0,43,11
122.0,28,36
122.0,43,11
122.0,34,14
122.0,55,62
122.0,67,51
123.0,4,84
123.0,24,84
123.0,67,51
123.0,43,11
124.0,39,18
124.0,43,11
124.0,12,23
124.0,63,81
124.0,81,52
124.0,55,62
125.0,43,11
125.0,39,18
125.0,55,62
126.0,43,11
126.0,39,18
126.0,67,51
127.0,28,36
127.0,39,18
127.0,34,14
127.0,43,11
127.0,55,62
128.0,55,62
128.0,67,51
128.0,39,18
128.0,34,14
128.0,43,11
128.0,28,36
129.0,55,62
129.0,34,14
129.0,28,36
129.0,43,11
130.0,28,36
130.0,34,14
130.0,43,11
130.0,50,28
131.0,43,11
131.0,67,51
131.0,81,52
132.0,43,11
132.0,36,30
133.0,78,38
133.0,81,52
133.0,43,11
133.0,12,23
133.0,67,51
133.0,28,36
134.0,43,11
134.0,28,36
134.0,66,23
134.0,34,14
134.0,78,38
134.0,12,23
135.0,81,52
135.0,54,70
135.0,43,11
135.0,28,36
136.0,66,23
136.0,81,52
136.0,43,11
136.0,54,70
136.0,28,36
136.0,78,38
136.0,4,70
137.0,43,11
137.0,54,70
137.0,78,38
137.0,4,70
137.0,67,51
137.0,66,23
137.0,81,52
138.0,66,23
138.0,4,70
138.0,43,11
138.0,54,70
139.0,43,11
139.0,4,70
139.0,13,53
139.0,81,52
139.0,54,70
139.0,66,23
139.0,78,38
140.0,66,23
140.0,78,38
140.0,43,11
140.0,4,70
141.0,66,23
141.0,78,38
141.0,43,11
141.0,4,70
141.0,54,4
141.0,14,64
142.0,43,11
142.0,66,23
142.0,4,70
143.0,28,36
143.0,28,30
143.0,4,70
143.0,66,23
143.0,43,11
143.0,67,51
144.0,54,70
144.0,28,36
144.0,43,11
144.0,4,70
145.0,54,70
145.0,54,4
145.0,66,23
145.0,4,70
146.0,43,11
146.0,54,4
146.0,4,70
147.0,28,36
147.0,54,70
147.0,67,51
147.0,4,70
148.0,66,23
148.0,54,70
148.0,67,51
148.0,27,36
148.0,28,36
148.0,4,70
149.0,28,36
149.0,66,23
149.0,67,51
150.0,66,23
150.0,67,51
150.0,43,11
150.0,28,36
151.0,67,51
151.0,66,23
151.0,27,28
152.0,54,70
152.0,67,51
152.0,66,23
153.0,43,11
153.0,67,51
153.0,28,36
153.0,50,28
153.0,54,70
153.0,81,52
154.0,66,23
154.0,78,38
154.0,81,52
154.0,67,51
154.0,28,36
154.0,54,70
155.0,55,62
155.0,67,51
155.0,28,36
155.0,66,23
156.0,66,23
156.0,67,51
156.0,32,31
156.0,28,36
157.0,67,51
157.0,43,11
157.0,28,36
157.0,66,23
158.0,28,36
158.0,66,23
158.0,67,51
158.0,43,11
158.0,16,42
159.0,67,51
159.0,28,36
159.0,16,42
159.0,55,62
159.0,81,52
160.0,66,23
160.0,43,11
160.0,86,47
160.0,50,28
160.0,55,62
160.0,28,36
161.0,81,52
161.0,50,28
161.0,55,62
161.0,86,47
162.0,50,36
162.0,55,62
162.0,50,28
162.0,86,47
162.0,28,36
163.0,66,23
163.0,79,47
163.0,67,51
163.0,86,47
163.0,50,36
163.0,43,11
163.0,55,62
164.0,79,47
164.0,86,47
164.0,50,36
164.0,55,62
164.0,43,11
164.0,27,30
164.0,86,79
165.0,43,11
165.0,16,42
165.0,67,51
165.0,50,36
165.0,55,62
165.0,54,70
165.0,79,47
165.0,34,14
166.0,67,51
166.0,79,47
166.0,50,36
166.0,55,62
166.0,14,64
166.0,54,70
166.0,27,28
167.0,55,62
167.0,43,11
167.0,66,23
167.0,67,51
167.0,53,58
167.0,50,36
168.0,55,62
168.0,53,58
168.0,27,50
168.0,43,11
168.0,50,36
168.0,66,23
168.0,67,51
169.0,55,62
169.0,53,58
169.0,66,23
169.0,67,51
170.0,67,51
170.0,66,23
170.0,54,70
170.0,53,58
170.0,55,62
171.0,55,62
171.0,67,51
171.0,66,23
172.0,67,51
172.0,16,42
172.0,55,62
172.0,66,23
173.0,54,70
173.0,66,23
173.0,67,51
173.0,16,42
173.0,55,62
174.0,15,48
174.0,67,51
174.0,14,64
174.0,66,23
174.0,54,70
174.0,55,62
175.0,66,23
175.0,55,62
175.0,54,70
175.0,67,51
176.0,14,64
176.0,67,51
177.0,55,62
177.0,67,51
177.0,54,70
178.0,54,70
178.0,15,48
178.0,55,62
178.0,67,51
179.0,43,11
179.0,55,62
179.0,66,23
179.0,67,51
180.0,15,48
180.0,55,62
180.0,66,23
180.0,67,51
181.0,55,62
181.0,46,21
181.0,50,36
181.0,67,51
181.0,66,23
181.0,15,48
182.0,55,62
182.0,46,21
182.0,67,51
182.0,66,23
183.0,67,51
183.0,66,23
183.0,81,52
183.0,15,48
183.0,46,21
184.0,67,51
184.0,66,23
184.0,16,42
184.0,46,21
184.0,81,52
184.0,50,36
184.0,27,36
184.0,15,48
185.0,27,36
185.0,81,52
185.0,55,62
185.0,66,23
185.0,54,70
185.0,46,21
185.0,43,11
185.0,15,48
185.0,67,51
186.0,81,52
186.0,67,51
186.0,15,48
186.0,66,23
186.0,55,62
186.0,46,21
187.0,67,51
187.0,81,52
187.0,55,62
187.0,46,21
188.0,67,51
188.0,8,51
188.0,63,70
188.0,81,52
189.0,46,21
189.0,81,52
189.0,54,70
189.0,63,70
189.0,67,51
189.0,63,54
190.0,54,70
190.0,50,36
190.0,66,23
190.0,78,38
190.0,67,51
190.0,63,54
190.0,81,52
190.0,55,62
190.0,46,21
191.0,46,21
191.0,14,64
191.0,54,70
191.0,67,51
191.0,50,36
191.0,81,52
191.0,63,70
192.0,66,23
192.0,28,36
192.0,78,38
192.0,14,64
192.0,27,36
192.0,27,28
192.0,81,52
192.0,67,51
192.0,67,8
192.0,50,36
193.0,27,36
193.0,14,64
193.0,28,36
193.0,67,51
193.0,78,38
193.0,66,23
193.0,27,28
193.0,32,31
193.0,46,21
194.0,67,51
194.0,27,36
194.0,66,23
194.0,32,31
195.0,67,51
195.0,27,36
195.0,66,23
195.0,46,26
196.0,66,23
196.0,27,36
196.0,67,51
196.0,46,26
197.0,50,36
197.0,66,23
197.0,67,51
197.0,14,64
197.0,34,14
198.0,34,14
198.0,67,51
198.0,50,36
198.0,66,23
199.0,66,23
199.0,67,51
199.0,50,36
200.0,81,52
200.0,41,14
200.0,66,23
200.0,50,36
200.0,67,51
201.0,41,64
201.0,67,51
201.0,66,23
201.0,81,52
201.0,50,36
201.0,8,51
202.0,81,52
202.0,67,51
202.0,41,14
202.0,50,36
202.0,66,23
203.0,81,52
203.0,67,51
203.0,66,23
204.0,67,51
204.0,66,23
205.0,66,23
205.0,81,52
205.0,27,36
206.0,66,23
206.0,34,14
206.0,81,52
207.0,50,36
207.0,66,23
207.0,34,14
208.0,86,79
208.0,50,36
208.0,66,23
209.0,66,23
209.0,18,59
210.0,46,26
210.0,66,23
210.0,18,59
211.0,18,59
211.0,26,21
212.0,54,70
213.0,69,47
213.0,19,75
213.0,67,51
214.0,18,59
214.0,46,26
214.0,54,70
215.0,69,47
215.0,41,14
216.0,86,69
216.0,26,21
216.0,44,41
216.0,66,23
216.0,81,52
217.0,8,51
217.0,41,64
217.0,86,69
217.0,66,23
217.0,18,59
218.0,67,8
218.0,66,23
218.0,81,52
218.0,26,21
218.0,18,59
218.0,8,51
218.0,86,69
219.0,27,50
219.0,66,23
219.0,27,36
219.0,67,51
219.0,67,8
219.0,81,52
219.0,1,33
219.0,8,51
219.0,18,59
220.0,66,23
220.0,46,26
220.0,81,52
220.0,1,33
220.0,27,50
220.0,40,60
220.0,18,59
221.0,66,23
221.0,46,26
221.0,40,60
221.0,27,50
221.0,4,84
221.0,18,59
221.0,1,33
222.0,27,50
222.0,40,60
222.0,66,23
222.0,41,14
222.0,34,41
223.0,66,23
223.0,1,33
223.0,4,84
223.0,50,36
223.0,46,26
223.0,34,14
223.0,40,60
223.0,27,50
224.0,40,60
224.0,4,84
224.0,50,36
224.0,27,50
225.0,40,60
225.0,1,33
225.0,34,14
225.0,46,26
225.0,66,23
225.0,57,68
226.0,1,33
226.0,34,14
226.0,40,60
226.0,46,26
226.0,66,23
227.0,1,33
227.0,46,26
227.0,68,2
227.0,50,36
227.0,40,60
227.0,18,59
227.0,81,52
227.0,66,23
228.0,50,36
228.0,41,64
228.0,40,60
228.0,81,52
228.0,1,33
228.0,46,26
229.0,40,60
229.0,66,23
229.0,44,41
229.0,81,52
229.0,41,64
229.0,1,33
230.0,66,23
230.0,1,33
230.0,40,60
230.0,41,64
230.0,18,59
230.0,50,28
230.0,27,28
231.0,50,36
231.0,4,84
231.0,86,79
231.0,1,33
231.0,66,23
231.0,27,36
231.0,28,36
231.0,26,21
231.0,34,14
231.0,40,60
232.0,66,23
232.0,28,36
232.0,41,64
232.0,50,36
232.0,1,33
232.0,40,60
232.0,26,21
232.0,41,14
233.0,4,84
233.0,69,47
233.0,1,33
233.0,27,36
233.0,41,64
233.0,41,14
233.0,40,60
233.0,27,28
234.0,40,60
234.0,44,41
234.0,27,28
234.0,66,23
234.0,69,47
235.0,41,64
235.0,1,33
235.0,53,58
235.0,69,47
235.0,41,14
235.0,27,28
235.0,40,60
236.0,39,18
236.0,53,58
236.0,66,23
236.0,41,14
236.0,1,33
236.0,79,69
236.0,40,60
237.0,26,21
237.0,79,69
237.0,81,52
237.0,40,60
237.0,86,79
237.0,79,47
237.0,39,18
237.0,1,33
237.0,4,84
238.0,1,33
238.0,40,60
238.0,39,59
238.0,86,79
238.0,86,69
238.0,4,84
238.0,66,23
238.0,50,36
238.0,63,81
239.0,53,58
239.0,26,21
239.0,86,79
239.0,66,23
239.0,40,60
239.0,4,84
240.0,40,60
240.0,53,58
240.0,26,21
240.0,68,2
240.0,4,84
240.0,86,79
241.0,68,2
241.0,4,84
241.0,40,60
241.0,41,14
241.0,26,21
241.0,86,79
241.0,53,58
242.0,40,60
242.0,41,14
242.0,79,69
242.0,26,21
242.0,53,58
243.0,41,14
243.0,79,69
243.0,4,84
243.0,86,79
243.0,46,26
243.0,40,60
243.0,41,64
243.0,68,2
244.0,46,26
244.0,40,60
244.0,26,21
244.0,41,14
244.0,68,2
245.0,54,70
245.0,26,21
245.0,40,60
245.0,46,26
246.0,50,36
246.0,26,21
246.0,40,60
246.0,53,58
246.0,41,14
247.0,68,2
247.0,53,58
247.0,41,14
247.0,50,36
247.0,40,60
248.0,14,64
248.0,86,79
248.0,40,60
248.0,86,69
249.0,86,79
249.0,26,21
249.0,40,60
249.0,14,64
249.0,66,23
249.0,86,69
250.0,14,64
250.0,26,21
250.0,86,79
250.0,40,60
250.0,66,23
251.0,86,79
251.0,40,60
251.0,81,52
251.0,18,59
252.0,49,45
252.0,40,60
252.0,68,2
252.0,18,59
253.0,68,2
253.0,18,59
253.0,49,45
253.0,40,60
253.0,66,23
254.0,27,36
254.0,66,23
254.0,40,60
254.0,49,45
254.0,68,2
255.0,50,36
255.0,66,23
255.0,49,45
255.0,40,60
255.0,86,79
255.0,54,70
256.0,66,23
256.0,54,70
256.0,49,45
256.0,50,36
257.0,86,79
257.0,49,45
257.0,66,23
257.0,27,36
257.0,86,47
258.0,66,23
258.0,68,2
259.0,66,23
259.0,54,70
260.0,66,23
260.0,54,70
261.0,54,70
262.0,54,70
262.0,53,58
262.0,49,45
263.0,49,45
263.0,14,64
263.0,54,70
263.0,53,58
264.0,59,3
264.0,32,31
264.0,54,70
265.0,59,3
265.0,54,70
265.0,32,31
265.0,53,58
265.0,67,51
266.0,32,31
266.0,59,3
266.0,53,58
266.0,54,70
266.0,67,51
267.0,59,3
267.0,54,70
267.0,14,64
267.0,67,51
268.0,54,70
268.0,66,23
268.0,67,51
268.0,14,64
269.0,54,70
269.0,66,23
269.0,81,52
269.0,67,51
269.0,68,2
269.0,57,68
269.0,57,2
269.0,49,45
269.0,14,64
270.0,67,51
270.0,59,3
270.0,49,45
270.0,54,70
270.0,66,23
270.0,14,64
271.0,46,21
271.0,67,51
271.0,59,3
271.0,68,2
272.0,16,38
272.0,67,51
272.0,57,2
272.0,68,2
272.0,43,11
273.0,54,70
273.0,67,51
273.0,68,2
273.0,49,45
273.0,66,23
273.0,57,2
274.0,49,45
274.0,66,23
274.0,16,38
274.0,69,47
274.0,54,70
274.0,67,51
275.0,28,36
275.0,79,69
275.0,57,2
275.0,32,31
275.0,16,38
275.0,54,70
275.0,69,47
275.0,67,51
276.0,28,36
276.0,16,38
276.0,57,2
276.0,14,64
276.0,67,51
276.0,68,2
276.0,66,23
277.0,16,38
277.0,66,23
277.0,79,69
277.0,14,64
277.0,67,51
277.0,6,4
278.0,67,51
278.0,66,23
278.0,14,64
279.0,66,23
279.0,67,51
279.0,57,2
280.0,39,3
280.0,67,51
280.0,6,4
280.0,57,2
281.0,79,69
281.0,67,51
281.0,66,23
281.0,6,4
281.0,57,2
281.0,65,37
282.0,65,37
282.0,79,69
282.0,66,23
282.0,6,4
282.0,50,28
282.0,50,36
283.0,57,2
283.0,66,23
283.0,67,51
283.0,39,3
283.0,59,3
283.0,81,52
283.0,53,58
283.0,28,36
283.0,79,69
283.0,6,4
284.0,79,69
284.0,53,58
284.0,28,36
284.0,81,52
284.0,6,4
284.0,57,2
284.0,39,3
285.0,6,4
285.0,53,58
285.0,28,36
285.0,65,37
285.0,57,2
285.0,66,23
285.0,14,64
285.0,81,52
286.0,82,60
286.0,66,23
286.0,28,36
286.0,79,69
286.0,57,2
286.0,14,64
286.0,53,58
286.0,86,79
286.0,6,4
287.0,66,23
287.0,57,2
287.0,6,4
287.0,81,52
287.0,14,64
287.0,53,58
287.0,28,36
288.0,79,69
288.0,14,64
288.0,81,52
288.0,67,51
288.0,57,2
288.0,28,36
288.0,53,58
288.0,6,4
289.0,53,58
289.0,79,69
289.0,67,51
289.0,14,64
289.0,6,4
290.0,65,37
290.0,6,4
290.0,57,2
290.0,14,64
290.0,53,58
290.0,67,51
290.0,18,59
291.0,14,64
291.0,53,58
291.0,50,28
291.0,50,36
291.0,18,59
291.0,67,51
291.0,57,2
291.0,46,21
292.0,53,58
292.0,6,4
292.0,57,2
292.0,14,64
292.0,86,79
292.0,18,59
293.0,53,58
293.0,18,59
293.0,6,4
293.0,57,2
293.0,14,64
293.0,86,79
293.0,50,36
293.0,46,21
294.0,57,2
294.0,69,47
294.0,18,59
294.0,53,58
294.0,16,42
294.0,79,69
294.0,14,64
294.0,86,79
294.0,28,36
295.0,50,28
295.0,16,42
295.0,28,36
295.0,34,14
295.0,6,4
295.0,53,58
295.0,14,64
295.0,79,69
295.0,67,51
295.0,65,37
295.0,18,59
296.0,16,42
296.0,41,14
296.0,6,4
296.0,43,11
296.0,18,59
296.0,67,51
296.0,53,58
297.0,39,3
297.0,18,59
297.0,41,14
297.0,53,58
297.0,16,42
297.0,6,4
298.0,53,58
298.0,39,3
298.0,67,51
298.0,57,2
298.0,41,14
298.0,68,2
298.0,28,36
298.0,18,59
298.0,16,42
298.0,6,4
299.0,6,4
299.0,18,59
299.0,53,58
299.0,67,51
299.0,16,42
300.0,6,4
300.0,59,3
300.0,16,42
300.0,67,51
300.0,43,11
301.0,41,14
301.0,18,59
301.0,16,42
301.0,65,37
302.0,16,42
302.0,65,37
302.0,39,18
302.0,43,11
303.0,28,36
303.0,65,37
303.0,6,4
303.0,16,42
303.0,39,18
304.0,81,52
304.0,43,11
304.0,65,37
304.0,39,18
304.0,67,51
304.0,16,42
304.0,6,4
305.0,67,51
305.0,16,42
305.0,81,52
305.0,66,23
306.0,67,51
306.0,66,23
306.0,16,42
306.0,6,4
307.0,16,42
307.0,67,51
307.0,6,4
307.0,66,23
308.0,66,23
308.0,41,14
308.0,67,51
308.0,6,4
309.0,67,51
309.0,6,4
309.0,41,14
310.0,66,23
310.0,6,4
310.0,67,51
310.0,41,14
311.0,54,70
311.0,6,4
311.0,67,51
311.0,49,45
311.0,16,42
311.0,18,59
311.0,27,28
312.0,15,48
312.0,67,51
312.0,6,4
312.0,65,37
312.0,49,45
312.0,16,42
313.0,15,48
313.0,6,4
313.0,67,51
314.0,6,4
314.0,16,42
314.0,67,51
315.0,6,4
315.0,16,42
315.0,67,51
316.0,67,51
316.0,6,4
316.0,16,42
317.0,67,51
317.0,6,4
317.0,16,42
318.0,41,14
318.0,6,4
318.0,67,51
318.0,54,70
318.0,16,42
319.0,78,38
319.0,6,4
319.0,18,59
319.0,16,42
320.0,49,45
320.0,28,30
320.0,78,38
320.0,6,4
320.0,16,42
321.0,16,42
321.0,66,23
321.0,27,28
321.0,78,38
321.0,67,51
321.0,49,45
322.0,16,42
322.0,27,28
323.0,16,42
323.0,67,51
324.0,66,23
324.0,16,42
324.0,67,51
325.0,41,14
325.0,86,79
325.0,16,42
325.0,67,51
326.0,6,4
326.0,16,42
326.0,31,37
326.0,67,51
327.0,16,42
327.0,31,37
327.0,7,9
327.0,67,51
328.0,16,42
328.0,7,9
328.0,6,4
328.0,67,51
329.0,67,51
329.0,86,47
329.0,19,75
329.0,7,9
330.0,16,42
330.0,19,75
330.0,27,28
330.0,7,9
331.0,27,30
331.0,16,42
331.0,6,4
331.0,49,45
332.0,86,47
332.0,86,79
332.0,27,30
332.0,19,75
332.0,50,28
333.0,86,79
333.0,6,4
333.0,8,51
333.0,27,30
334.0,50,28
334.0,86,79
334.0,8,51
334.0,27,30
334.0,6,4
335.0,27,30
335.0,6,4
335.0,50,28
336.0,6,4
336.0,27,30
336.0,16,42
336.0,50,28
337.0,6,4
337.0,50,28
338.0,50,28
338.0,27,30
338.0,6,4
338.0,41,14
338.0,16,42
339.0,19,75
339.0,16,42
339.0,27,30
339.0,50,28
339.0,6,4
339.0,41,14
340.0,27,30
340.0,6,4
340.0,19,75
340.0,50,28
340.0,16,42
340.0,39,59
341.0,39,59
341.0,16,42
341.0,86,79
341.0,27,30
341.0,6,4
341.0,41,14
341.0,50,28
342.0,39,59
342.0,6,4
342.0,19,75
342.0,41,14
342.0,34,41
342.0,16,42
343.0,39,59
343.0,27,30
343.0,6,4
344.0,6,4
344.0,39,59
345.0,27,30
345.0,86,79
345.0,39,59
345.0,16,42
346.0,39,59
346.0,6,4
346.0,16,42
346.0,41,14
346.0,27,30
347.0,16,42
347.0,31,37
347.0,41,64
347.0,6,4
348.0,39,59
348.0,53,58
349.0,6,4
349.0,39,59
350.0,16,42
350.0,39,59
350.0,31,37
350.0,6,4
351.0,49,45
351.0,66,23
351.0,16,42
351.0,6,4
352.0,86,47
352.0,31,37
353.0,49,45
353.0,86,47
354.0,27,28
354.0,31,37
355.0,27,36
356.0,27,36
356.0,14,64
357.0,27,36
357.0,49,45
358.0,41,14
358.0,49,45
358.0,41,64
358.0,27,36
359.0,50,36
359.0,49,45
359.0,79,69
359.0,69,47
359.0,66,23
360.0,49,45
360.0,53,58
361.0,49,45
361.0,19,75
361.0,4,84
361.0,53,58
362.0,19,75
362.0,4,84
362.0,16,42
363.0,61,76
364.0,61,76
364.0,4,84
364.0,16,42
365.0,49,45
365.0,61,76
365.0,16,42
366.0,79,69
367.0,27,28
367.0,16,42
368.0,16,42
368.0,27,28
370.0,50,28
370.0,27,28
370.0,4,84
371.0,27,50
371.0,16,42
371.0,4,84
371.0,66,23
371.0,50,28
371.0,50,36
371.0,79,47
372.0,50,36
372.0,49,45
372.0,4,84
372.0,50,28
373.0,49,45
373.0,50,36
373.0,50,28
373.0,79,47
374.0,4,84
374.0,49,45
374.0,28,36
375.0,4,84
376.0,4,84
377.0,14,64
377.0,49,45
377.0,66,23
378.0,4,84
378.0,14,64
378.0,66,23
379.0,14,64
379.0,4,84
380.0,79,47
380.0,4,84
380.0,66,23
381.0,49,45
381.0,79,47
381.0,28,36
381.0,16,42
381.0,4,84
382.0,28,36
382.0,79,47
382.0,4,84
382.0,53,58
382.0,16,42
383.0,53,58
383.0,4,84
383.0,79,47
384.0,79,47
384.0,4,84
384.0,53,58
384.0,8,51
385.0,4,84
385.0,79,47
386.0,8,51
386.0,79,47
386.0,4,84
387.0,4,84
387.0,79,47
388.0,8,51
388.0,4,84
388.0,79,47
389.0,4,84
389.0,86,79
390.0,79,47
390.0,80,77
390.0,4,84
390.0,53,58
391.0,79,47
391.0,8,51
391.0,4,84
392.0,4,84
392.0,8,51
392.0,79,47
393.0,4,84
393.0,34,14
393.0,15,48
393.0,79,47
393.0,67,51
394.0,4,84
394.0,15,48
394.0,8,51
395.0,15,48
395.0,8,51
395.0,4,84
396.0,19,75
396.0,15,48
396.0,8,51
396.0,4,84
396.0,67,51
397.0,4,84
397.0,15,48
398.0,4,84
398.0,50,36
398.0,15,48
399.0,4,84
399.0,28,36
400.0,28,36
400.0,15,48
400.0,4,84
401.0,4,84
401.0,15,48
401.0,28,36
402.0,15,48
402.0,4,84
402.0,80,77
402.0,28,36
403.0,50,28
403.0,4,84
403.0,53,58
403.0,27,30
404.0,27,30
404.0,50,28
404.0,13,53
404.0,4,84
405.0,28,36
405.0,4,84
405.0,41,14
405.0,67,8
406.0,4,84
406.0,28,36
406.0,79,47
406.0,31,37
407.0,31,37
407.0,79,47
407.0,4,84
408.0,31,37
408.0,79,47
408.0,4,84
409.0,31,37
409.0,79,47
409.0,4,84
410.0,31,37
410.0,27,30
410.0,79,47
410.0,4,84
411.0,27,30
411.0,79,47
411.0,4,84
411.0,31,37
412.0,50,28
412.0,31,37
412.0,4,84
412.0,27,30
412.0,53,58
413.0,31,37
413.0,27,30
413.0,4,84
414.0,31,37
414.0,4,84
414.0,53,58
414.0,50,28
414.0,27,30
