t,i,j
114.0,1600,1523
114.0,1539,1544
114.0,1600,1519
114.0,1519,1523
114.0,1539,1529
114.0,1583,1510
115.0,1600,1523
115.0,1604,1531
115.0,1539,1544
115.0,1600,1519
115.0,1602,1631
115.0,1519,1523
115.0,1539,1529
115.0,1583,1510
116.0,1539,1544
116.0,1539,1600
116.0,1600,1519
116.0,1544,1523
116.0,1463,1628
116.0,1602,1631
116.0,1519,1523
116.0,1539,1529
116.0,1544,1529
116.0,1583,1510
117.0,1539,1599
117.0,1539,1519
117.0,1544,1523
117.0,1463,1628
117.0,1600,1523
117.0,1602,1631
117.0,1519,1523
117.0,1539,1529
117.0,1544,1529
117.0,1583,1510
118.0,1539,1544
118.0,1599,1600
118.0,1599,1519
118.0,1600,1523
118.0,1602,1631
118.0,1519,1529
118.0,1519,1523
118.0,1539,1529
118.0,1539,1523
118.0,1544,1529
118.0,1599,1523
118.0,1600,1519
118.0,1544,1599
118.0,1583,1510
119.0,1539,1529
119.0,1539,1631
119.0,1539,1523
119.0,1539,1771
119.0,1544,1529
119.0,1599,1523
119.0,1599,1529
119.0,1599,1631
119.0,1539,1599
119.0,1599,1510
119.0,1600,1519
119.0,1544,1599
119.0,1604,1531
119.0,1583,1510
120.0,1539,1544
120.0,1539,1599
120.0,1583,1599
120.0,1599,1600
120.0,1599,1510
120.0,1600,1523
120.0,1602,1631
120.0,1519,1523
120.0,1600,1519
120.0,1544,1599
120.0,1604,1531
120.0,1583,1510
121.0,1549,1631
121.0,1600,1523
121.0,1602,1631
121.0,1519,1523
121.0,1600,1519
121.0,1544,1599
121.0,1544,1523
121.0,1604,1531
121.0,1583,1510
122.0,1600,1519
122.0,1599,1529
122.0,1523,1529
122.0,1544,1529
122.0,1544,1599
122.0,1544,1523
122.0,1604,1531
122.0,1569,1520
122.0,1583,1510
123.0,1599,1529
123.0,1600,1628
123.0,1602,1631
123.0,1523,1529
123.0,1616,1518
123.0,1544,1529
123.0,1463,1628
123.0,1544,1599
123.0,1599,1523
123.0,1544,1523
123.0,1604,1531
123.0,1539,1547
123.0,1569,1520
123.0,1583,1510
124.0,1463,1600
124.0,1616,1518
124.0,1544,1529
124.0,1463,1628
124.0,1544,1599
124.0,1599,1523
124.0,1544,1523
124.0,1604,1531
124.0,1539,1547
124.0,1569,1520
124.0,1583,1510
125.0,1544,1529
125.0,1545,1616
125.0,1569,1742
125.0,1463,1628
125.0,1599,1529
125.0,1544,1599
125.0,1599,1523
125.0,1544,1523
125.0,1604,1531
125.0,1539,1547
125.0,1569,1520
125.0,1583,1510
126.0,1599,1529
126.0,1544,1599
126.0,1599,1523
126.0,1601,1629
126.0,1523,1529
126.0,1544,1523
126.0,1545,1430
126.0,1430,1453
126.0,1604,1531
126.0,1539,1547
126.0,1569,1520
126.0,1583,1510
127.0,1544,1599
127.0,1599,1523
127.0,1600,1529
127.0,1601,1629
127.0,1523,1529
127.0,1544,1523
127.0,1545,1453
127.0,1545,1430
127.0,1430,1453
127.0,1563,1618
127.0,1742,1520
127.0,1604,1531
127.0,1539,1547
127.0,1569,1520
127.0,1569,1742
127.0,1583,1510
128.0,1544,1529
128.0,1544,1523
128.0,1545,1453
128.0,1545,1430
128.0,1430,1453
128.0,1434,1448
128.0,1563,1618
128.0,1463,1599
128.0,1463,1628
128.0,1742,1520
128.0,1604,1531
128.0,1539,1547
128.0,1569,1520
128.0,1569,1742
128.0,1549,1523
128.0,1583,1510
129.0,1448,1600
129.0,1463,1628
129.0,1601,1629
129.0,1742,1520
129.0,1604,1531
129.0,1539,1547
129.0,1569,1520
129.0,1569,1742
129.0,1549,1523
129.0,1583,1510
130.0,1563,1618
130.0,1604,1531
130.0,1539,1547
130.0,1569,1520
130.0,1569,1742
130.0,1549,1523
130.0,1583,1510
131.0,1604,1531
131.0,1539,1547
131.0,1742,1520
131.0,1569,1520
131.0,1569,1742
131.0,1549,1523
131.0,1583,1510
132.0,1539,1547
132.0,1569,1448
132.0,1742,1520
132.0,1569,1520
132.0,1569,1742
132.0,1549,1523
132.0,1583,1510
133.0,1448,1487
133.0,1529,1531
133.0,1583,1531
133.0,1463,1628
133.0,1742,1520
133.0,1510,1531
133.0,1523,1531
133.0,1569,1520
133.0,1569,1742
133.0,1602,1631
133.0,1549,1523
133.0,1583,1510
134.0,1539,1448
134.0,1544,1531
134.0,1583,1531
134.0,1463,1628
134.0,1742,1520
134.0,1510,1531
134.0,1523,1531
134.0,1569,1520
134.0,1604,1518
134.0,1569,1742
134.0,1602,1631
134.0,1549,1523
134.0,1583,1510
135.0,1434,1602
135.0,1434,1631
135.0,1523,1531
135.0,1569,1520
135.0,1604,1518
135.0,1569,1742
135.0,1602,1631
135.0,1549,1523
135.0,1583,1510
136.0,1569,1520
136.0,1604,1616
136.0,1604,1518
136.0,1569,1742
136.0,1602,1631
136.0,1549,1523
136.0,1583,1510
137.0,1569,1742
137.0,1602,1631
137.0,1549,1523
137.0,1583,1510
138.0,1563,1618
138.0,1463,1628
138.0,1602,1631
138.0,1616,1518
138.0,1604,1616
138.0,1549,1523
138.0,1583,1510
139.0,1604,1616
139.0,1569,1742
139.0,1742,1520
139.0,1549,1523
139.0,1583,1510
140.0,1569,1520
140.0,1569,1742
140.0,1742,1520
140.0,1549,1523
140.0,1616,1518
140.0,1583,1510
141.0,1563,1618
141.0,1569,1520
141.0,1569,1626
141.0,1569,1742
141.0,1742,1520
141.0,1742,1626
141.0,1626,1520
141.0,1549,1523
141.0,1616,1518
141.0,1583,1510
142.0,1549,1523
142.0,1616,1518
142.0,1583,1510
143.0,1563,1618
143.0,1549,1523
143.0,1616,1518
143.0,1583,1510
144.0,1549,1523
144.0,1616,1518
144.0,1583,1510
145.0,1549,1523
145.0,1434,1629
145.0,1616,1518
145.0,1742,1520
145.0,1563,1618
145.0,1599,1512
145.0,1583,1510
146.0,1742,1520
146.0,1563,1618
146.0,1599,1512
146.0,1583,1510
147.0,1563,1618
147.0,1604,1616
147.0,1604,1527
147.0,1549,1523
147.0,1599,1512
147.0,1583,1510
148.0,1592,1618
148.0,1549,1523
148.0,1616,1518
148.0,1604,1518
148.0,1599,1512
148.0,1583,1510
149.0,1549,1523
149.0,1563,1618
149.0,1616,1518
149.0,1604,1518
149.0,1604,1616
149.0,1599,1512
149.0,1583,1510
150.0,1616,1518
150.0,1604,1518
150.0,1604,1616
150.0,1599,1512
150.0,1583,1510
151.0,1592,1618
151.0,1616,1518
151.0,1563,1618
151.0,1604,1518
151.0,1519,1529
151.0,1604,1616
151.0,1549,1523
151.0,1599,1512
151.0,1583,1510
152.0,1563,1618
152.0,1604,1518
152.0,1519,1529
152.0,1604,1616
152.0,1549,1523
152.0,1563,1592
152.0,1599,1512
152.0,1583,1510
153.0,1592,1618
153.0,1604,1616
153.0,1549,1523
153.0,1563,1592
153.0,1601,1629
153.0,1599,1512
153.0,1583,1510
154.0,1549,1523
154.0,1563,1592
154.0,1604,1518
154.0,1601,1629
154.0,1628,1527
154.0,1599,1512
154.0,1519,1529
154.0,1583,1510
155.0,1563,1618
155.0,1592,1520
155.0,1601,1629
155.0,1628,1527
155.0,1599,1512
155.0,1604,1616
155.0,1519,1529
155.0,1583,1510
156.0,1549,1523
156.0,1549,1525
156.0,1601,1629
156.0,1604,1518
156.0,1628,1527
156.0,1599,1512
156.0,1604,1616
156.0,1519,1529
156.0,1583,1510
157.0,1563,1618
157.0,1628,1527
157.0,1599,1512
157.0,1592,1626
157.0,1604,1616
157.0,1519,1529
157.0,1616,1518
157.0,1583,1510
158.0,1599,1512
158.0,1604,1518
158.0,1592,1520
158.0,1592,1626
158.0,1604,1616
158.0,1519,1529
158.0,1616,1518
158.0,1583,1510
159.0,1563,1618
159.0,1592,1520
159.0,1592,1626
159.0,1604,1616
159.0,1519,1529
159.0,1616,1518
159.0,1628,1527
159.0,1549,1523
159.0,1583,1510
160.0,1616,1518
160.0,1628,1527
160.0,1600,1626
160.0,1549,1523
160.0,1600,1520
160.0,1626,1520
160.0,1604,1518
160.0,1583,1510
161.0,1600,1626
161.0,1549,1523
161.0,1600,1520
161.0,1626,1520
161.0,1601,1629
161.0,1604,1518
161.0,1583,1510
162.0,1549,1523
162.0,1600,1520
162.0,1626,1520
162.0,1563,1618
162.0,1601,1629
162.0,1604,1616
162.0,1604,1518
162.0,1512,1525
162.0,1583,1510
163.0,1544,1529
163.0,1544,1525
163.0,1616,1518
163.0,1563,1618
163.0,1601,1629
163.0,1604,1616
163.0,1604,1518
163.0,1512,1525
163.0,1583,1510
164.0,1563,1618
164.0,1437,1599
164.0,1601,1629
164.0,1604,1616
164.0,1549,1523
164.0,1604,1518
164.0,1512,1525
164.0,1583,1510
165.0,1549,1523
165.0,1599,1527
165.0,1604,1518
165.0,1512,1525
165.0,1616,1518
165.0,1583,1510
166.0,1437,1527
166.0,1604,1518
166.0,1544,1529
166.0,1463,1628
166.0,1563,1618
166.0,1512,1525
166.0,1437,1599
166.0,1616,1518
166.0,1583,1510
167.0,1544,1529
167.0,1463,1628
167.0,1592,1527
167.0,1601,1629
167.0,1549,1523
167.0,1463,1518
167.0,1563,1618
167.0,1512,1525
167.0,1437,1599
167.0,1616,1518
167.0,1583,1510
168.0,1549,1523
168.0,1463,1518
168.0,1592,1525
168.0,1563,1618
168.0,1512,1525
168.0,1437,1599
168.0,1592,1600
168.0,1616,1518
168.0,1583,1510
169.0,1563,1618
169.0,1512,1525
169.0,1437,1599
169.0,1592,1600
169.0,1616,1518
169.0,1583,1510
170.0,1549,1523
170.0,1592,1525
170.0,1437,1599
170.0,1592,1600
170.0,1616,1518
170.0,1549,1525
170.0,1583,1510
171.0,1592,1523
171.0,1523,1525
171.0,1563,1618
171.0,1437,1599
171.0,1592,1600
171.0,1616,1518
171.0,1549,1525
171.0,1583,1510
172.0,1544,1592
172.0,1544,1604
172.0,1463,1518
172.0,1592,1525
172.0,1563,1618
172.0,1437,1599
172.0,1592,1600
172.0,1616,1518
172.0,1549,1525
172.0,1583,1510
173.0,1544,1525
173.0,1563,1618
173.0,1437,1599
173.0,1592,1600
173.0,1616,1518
173.0,1604,1523
173.0,1549,1525
173.0,1583,1510
174.0,1542,1599
174.0,1437,1599
174.0,1592,1600
174.0,1616,1518
174.0,1604,1523
174.0,1549,1525
174.0,1583,1510
175.0,1544,1525
175.0,1463,1628
175.0,1616,1518
175.0,1563,1592
175.0,1604,1523
175.0,1549,1525
175.0,1583,1510
176.0,1563,1592
176.0,1604,1523
176.0,1616,1527
176.0,1518,1527
176.0,1549,1525
176.0,1583,1510
177.0,1549,1525
177.0,1583,1510
178.0,1544,1549
178.0,1448,1629
178.0,1463,1628
178.0,1549,1525
178.0,1583,1510
179.0,1544,1604
179.0,1463,1628
179.0,1549,1525
179.0,1583,1510
180.0,1544,1529
180.0,1553,1523
180.0,1544,1604
180.0,1463,1628
180.0,1549,1525
180.0,1583,1510
181.0,1544,1529
181.0,1553,1523
181.0,1563,1618
181.0,1544,1604
181.0,1463,1628
181.0,1549,1525
181.0,1583,1510
182.0,1544,1604
182.0,1600,1529
182.0,1523,1525
182.0,1463,1628
182.0,1549,1525
182.0,1583,1510
183.0,1544,1525
183.0,1549,1523
183.0,1523,1525
183.0,1600,1519
183.0,1544,1523
183.0,1463,1628
183.0,1549,1525
183.0,1583,1510
184.0,1563,1592
184.0,1600,1519
184.0,1544,1523
184.0,1463,1628
184.0,1549,1525
184.0,1583,1510
185.0,1600,1529
185.0,1600,1519
185.0,1519,1529
185.0,1544,1523
185.0,1437,1604
185.0,1463,1628
185.0,1544,1525
185.0,1523,1525
185.0,1549,1525
185.0,1583,1510
186.0,1544,1523
186.0,1437,1604
186.0,1463,1628
186.0,1544,1525
186.0,1523,1525
186.0,1549,1525
186.0,1583,1510
187.0,1463,1628
187.0,1600,1519
187.0,1519,1529
187.0,1544,1525
187.0,1523,1525
187.0,1549,1525
187.0,1583,1510
188.0,1600,1519
188.0,1519,1529
188.0,1544,1523
188.0,1544,1525
188.0,1523,1525
188.0,1549,1525
188.0,1583,1510
189.0,1448,1487
189.0,1544,1523
189.0,1544,1525
189.0,1523,1525
189.0,1549,1525
189.0,1583,1510
190.0,1544,1523
190.0,1544,1525
190.0,1523,1525
190.0,1549,1525
190.0,1600,1519
190.0,1583,1510
191.0,1523,1525
191.0,1549,1525
191.0,1519,1529
191.0,1600,1519
191.0,1601,1629
191.0,1583,1510
192.0,1544,1525
192.0,1523,1525
192.0,1549,1525
192.0,1544,1523
192.0,1519,1529
192.0,1600,1519
192.0,1601,1629
192.0,1583,1510
193.0,1549,1525
193.0,1600,1529
193.0,1544,1523
193.0,1519,1529
193.0,1600,1519
193.0,1601,1629
193.0,1583,1510
194.0,1544,1600
194.0,1544,1523
194.0,1519,1529
194.0,1600,1519
194.0,1601,1629
194.0,1523,1525
194.0,1583,1510
195.0,1600,1519
195.0,1601,1629
195.0,1523,1525
195.0,1583,1510
196.0,1523,1525
196.0,1583,1510
197.0,1601,1629
197.0,1523,1525
197.0,1583,1510
198.0,1601,1629
198.0,1600,1519
198.0,1523,1525
198.0,1583,1510
199.0,1600,1529
199.0,1600,1519
199.0,1523,1525
199.0,1583,1510
200.0,1463,1628
200.0,1601,1629
200.0,1600,1529
200.0,1600,1519
200.0,1523,1525
200.0,1583,1510
201.0,1601,1629
201.0,1600,1529
201.0,1600,1519
201.0,1523,1525
201.0,1583,1510
202.0,1463,1628
202.0,1601,1629
202.0,1600,1529
202.0,1600,1519
202.0,1523,1525
202.0,1583,1510
203.0,1601,1629
203.0,1600,1529
203.0,1600,1519
203.0,1523,1525
203.0,1583,1510
204.0,1601,1629
204.0,1600,1529
204.0,1600,1519
204.0,1523,1525
204.0,1583,1510
205.0,1601,1629
205.0,1519,1529
205.0,1600,1529
205.0,1600,1519
205.0,1523,1525
205.0,1583,1510
206.0,1600,1529
206.0,1600,1519
206.0,1523,1525
206.0,1583,1510
207.0,1461,1627
207.0,1600,1519
207.0,1523,1525
207.0,1583,1510
208.0,1600,1519
208.0,1523,1525
208.0,1583,1510
209.0,1600,1519
209.0,1549,1523
209.0,1549,1525
209.0,1523,1525
209.0,1583,1510
210.0,1549,1523
210.0,1461,1627
210.0,1549,1525
210.0,1523,1525
210.0,1583,1510
211.0,1553,1519
211.0,1549,1525
211.0,1523,1525
211.0,1583,1510
212.0,1549,1523
212.0,1553,1519
212.0,1549,1525
212.0,1600,1519
212.0,1523,1525
212.0,1583,1510
213.0,1549,1525
213.0,1600,1519
213.0,1523,1525
213.0,1583,1510
214.0,1600,1519
214.0,1523,1525
214.0,1583,1510
215.0,1549,1599
215.0,1600,1519
215.0,1523,1525
215.0,1583,1510
216.0,1600,1519
216.0,1523,1525
216.0,1583,1510
217.0,1600,1523
217.0,1523,1525
217.0,1601,1629
217.0,1583,1510
218.0,1601,1629
218.0,1519,1523
218.0,1583,1510
219.0,1600,1519
219.0,1601,1629
219.0,1519,1523
219.0,1583,1510
220.0,1583,1510
221.0,1600,1529
221.0,1600,1519
221.0,1583,1510
222.0,1583,1510
223.0,1600,1529
223.0,1583,1510
224.0,1600,1529
224.0,1600,1519
224.0,1583,1510
225.0,1583,1510
226.0,1600,1529
