t,i,j
1293.0,184,778
1294.0,120,494
1295.0,120,494
1296.0,184,778
1296.0,120,494
1297.0,184,778
1298.0,184,778
1299.0,184,778
1300.0,184,778
1301.0,184,778
1302.0,184,778
1302.0,120,494
1303.0,765,786
1303.0,184,778
1304.0,765,786
1304.0,184,778
1304.0,120,494
1305.0,765,786
1305.0,184,778
1306.0,765,786
1306.0,184,778
1307.0,765,786
1307.0,184,778
1308.0,765,786
1308.0,184,778
1309.0,184,778
1310.0,184,778
1311.0,184,778
1311.0,120,494
1312.0,184,778
1314.0,119,275
1314.0,120,494
1315.0,184,778
1315.0,119,275
1315.0,120,494
1317.0,765,786
1318.0,765,786
1318.0,123,253
1319.0,765,786
1319.0,123,253
1319.0,120,494
1320.0,120,494
1321.0,765,786
1322.0,765,786
1322.0,184,778
1323.0,765,786
1323.0,184,778
1324.0,765,786
1324.0,184,778
1325.0,765,786
1325.0,184,778
1327.0,184,778
1328.0,184,778
1329.0,184,778
1330.0,765,786
1330.0,184,778
1331.0,184,778
1332.0,184,778
1333.0,765,786
1333.0,184,778
1334.0,184,778
1335.0,184,778
1336.0,184,778
1337.0,184,778
1337.0,120,494
1338.0,184,778
1338.0,120,494
1339.0,184,778
1339.0,120,494
1340.0,184,778
1340.0,120,494
1341.0,120,494
1342.0,196,223
1343.0,120,494
1344.0,120,494
1346.0,120,494
1347.0,80,762
1347.0,275,762
1347.0,120,494
1348.0,120,494
1349.0,120,494
1351.0,120,494
1352.0,120,494
1355.0,120,494
1356.0,63,154
1356.0,119,275
1357.0,119,275
1362.0,116,481
1362.0,120,494
1364.0,765,786
1365.0,765,786
1366.0,765,786
1368.0,765,786
1368.0,120,494
1369.0,120,494
1372.0,120,494
1373.0,116,481
1373.0,120,494
1374.0,765,786
1375.0,765,786
1376.0,765,786
1378.0,765,786
1378.0,120,494
1379.0,120,494
1380.0,120,494
1381.0,120,494
1382.0,765,786
1382.0,120,494
1383.0,765,786
1384.0,765,786
1386.0,765,786
1389.0,765,786
1390.0,765,786
1393.0,765,786
1394.0,765,786
1402.0,63,481
1403.0,63,481
1407.0,63,481
1408.0,762,875
1409.0,123,253
1410.0,123,253
1411.0,123,253
1412.0,762,875
1412.0,123,253
1417.0,63,105
1418.0,63,105
1423.0,63,481
1424.0,63,481
1424.0,184,778
1425.0,50,875
1427.0,762,875
1427.0,184,778
1428.0,185,778
1428.0,184,268
1428.0,184,185
1428.0,184,778
1428.0,63,481
1429.0,63,481
1429.0,184,268
1429.0,184,185
1430.0,184,268
1431.0,184,268
1431.0,184,778
1433.0,184,778
1435.0,17,102
1436.0,184,268
1438.0,184,804
1439.0,184,268
1440.0,184,268
1443.0,17,102
1444.0,17,102
1445.0,184,268
1446.0,184,268
1447.0,184,804
1448.0,184,804
1450.0,184,268
1452.0,184,268
1479.0,113,223
1481.0,184,268
1487.0,184,268
1490.0,15,95
1504.0,205,223
1514.0,15,496
1514.0,95,496
1515.0,15,496
1516.0,15,496
1526.0,205,223
1528.0,123,253
1529.0,285,481
1529.0,123,253
1530.0,123,253
1532.0,123,253
1532.0,205,223
1534.0,123,253
1535.0,123,253
1536.0,123,253
1540.0,184,268
1544.0,15,496
1544.0,123,253
1545.0,15,95
1550.0,222,267
1551.0,222,267
1551.0,120,494
1552.0,222,267
1552.0,120,494
1553.0,222,267
1553.0,120,494
1554.0,222,267
1555.0,222,267
1556.0,222,267
1557.0,222,267
1560.0,222,267
1561.0,184,268
1561.0,120,494
1566.0,222,267
1567.0,222,267
1568.0,240,938
1573.0,222,267
1574.0,222,267
1575.0,222,267
1576.0,222,267
1577.0,222,267
1578.0,222,267
1579.0,222,267
1580.0,222,267
1581.0,222,267
1582.0,222,267
1583.0,222,267
1588.0,285,481
1589.0,285,481
1595.0,120,494
1596.0,120,494
1597.0,194,311
1597.0,120,494
1598.0,194,311
1598.0,120,494
1599.0,194,311
1599.0,120,494
1600.0,120,494
1604.0,120,494
1607.0,150,285
1608.0,150,285
1612.0,194,311
1616.0,194,311
1617.0,194,311
1618.0,194,311
1619.0,194,311
1620.0,194,311
1623.0,123,253
1626.0,123,253
1627.0,120,494
1681.0,95,194
1682.0,95,194
1683.0,95,194
1684.0,95,194
1685.0,95,194
1686.0,95,194
1687.0,95,194
1688.0,95,194
1689.0,194,311
1689.0,95,194
1690.0,194,311
1692.0,222,267
1693.0,222,267
1694.0,222,267
1694.0,95,194
1695.0,222,267
1695.0,95,194
1696.0,222,267
1696.0,95,194
1697.0,95,194
1699.0,184,845
1700.0,184,268
1701.0,184,268
1701.0,184,845
1702.0,184,268
1702.0,184,845
1704.0,184,268
1704.0,184,845
1705.0,184,845
1706.0,184,845
1707.0,184,845
1708.0,184,268
1711.0,184,845
1713.0,184,826
1715.0,184,268
1716.0,184,268
1718.0,39,205
1719.0,39,205
1720.0,39,205
1728.0,123,253
1729.0,123,253
1733.0,223,253
1734.0,120,765
1735.0,120,765
1739.0,120,765
1740.0,95,123
1741.0,95,123
1742.0,15,123
1742.0,95,253
1742.0,15,95
1742.0,123,253
1742.0,95,123
1743.0,120,765
1743.0,95,123
1744.0,120,765
1744.0,95,123
1745.0,95,123
1746.0,95,123
1747.0,95,123
1748.0,95,123
1759.0,123,253
1760.0,120,765
1760.0,123,253
1761.0,120,765
1762.0,120,765
1762.0,123,253
1763.0,123,253
1764.0,120,765
1764.0,123,253
1765.0,120,765
1765.0,123,253
1766.0,123,253
1769.0,39,804
1771.0,120,765
1772.0,120,765
1773.0,120,765
1777.0,120,765
1783.0,120,494
1794.0,172,196
1812.0,275,804
4403.0,150,154
4442.0,80,771
4461.0,39,819
4462.0,39,819
4471.0,762,771
4489.0,120,819
4490.0,762,771
4490.0,120,819
4491.0,762,771
4502.0,120,819
4504.0,448,533
4505.0,120,819
4505.0,448,533
4506.0,120,819
4506.0,448,533
4507.0,120,819
4515.0,120,819
4516.0,120,819
4517.0,120,819
4519.0,492,601
4520.0,492,601
4530.0,79,222
4534.0,79,222
4535.0,79,222
4550.0,826,987
4556.0,79,222
4557.0,79,222
4558.0,123,492
4561.0,194,786
4562.0,194,786
4572.0,95,123
4581.0,48,875
4582.0,150,154
4583.0,150,154
4583.0,39,95
4584.0,39,95
4589.0,95,242
4602.0,172,196
4605.0,267,603
4606.0,267,603
4607.0,164,267
4608.0,164,267
4609.0,164,267
4617.0,15,95
4618.0,80,875
4618.0,15,95
4629.0,102,335
4630.0,102,335
4635.0,15,95
4636.0,15,95
4637.0,15,95
4643.0,271,533
4646.0,210,778
4648.0,15,95
4651.0,15,95
4651.0,271,533
4652.0,765,786
4663.0,134,285
4664.0,134,285
4665.0,134,285
4666.0,35,210
4669.0,35,210
4671.0,35,210
4672.0,35,210
4673.0,35,210
4677.0,150,533
4678.0,150,533
4683.0,123,253
4684.0,123,253
4687.0,150,533
4688.0,150,533
4694.0,150,533
4695.0,150,533
4696.0,50,131
4696.0,150,533
4700.0,50,131
4700.0,150,533
4701.0,50,131
4702.0,50,131
4702.0,150,533
4703.0,50,131
4703.0,150,533
4704.0,50,131
4704.0,150,533
4705.0,50,131
4705.0,150,533
4707.0,50,131
4708.0,150,533
4709.0,50,131
4710.0,150,533
4711.0,50,131
4711.0,123,253
4712.0,119,778
4712.0,150,533
4713.0,123,223
4714.0,123,223
4715.0,123,223
4716.0,448,499
4718.0,116,778
4718.0,123,223
4719.0,778,845
4719.0,123,223
4721.0,123,223
4722.0,119,448
4722.0,150,533
4722.0,123,223
4723.0,150,533
4723.0,123,223
4724.0,222,267
4724.0,123,223
4725.0,119,448
4725.0,222,267
4725.0,123,223
4726.0,119,448
4726.0,150,533
4726.0,123,223
4727.0,150,533
4727.0,271,499
4727.0,123,223
4728.0,150,533
4728.0,123,223
4729.0,123,223
4730.0,150,533
4730.0,123,223
4731.0,134,285
4731.0,123,223
4732.0,150,533
4732.0,123,223
4733.0,123,223
4734.0,134,285
4734.0,123,223
4735.0,134,285
4735.0,123,223
4736.0,123,223
4737.0,116,335
4737.0,123,223
4738.0,116,335
4738.0,116,762
4738.0,134,285
4738.0,131,242
4738.0,123,223
4739.0,123,223
4740.0,123,223
4741.0,123,223
4742.0,123,223
4743.0,123,223
4744.0,123,223
4745.0,131,242
4745.0,123,223
4746.0,123,223
4747.0,123,223
4748.0,271,601
4748.0,123,223
4749.0,123,223
4750.0,123,223
4751.0,123,223
4752.0,123,223
4753.0,134,285
4753.0,123,223
4754.0,134,285
4754.0,123,223
4755.0,123,223
4756.0,119,211
4756.0,123,223
4757.0,123,223
4758.0,123,223
4759.0,120,196
4759.0,123,223
4760.0,120,196
4760.0,131,150
4760.0,123,223
4761.0,120,196
4761.0,131,150
4761.0,123,223
4762.0,120,196
4762.0,131,150
4762.0,123,223
4763.0,120,196
4763.0,131,150
4763.0,123,223
4764.0,131,150
4764.0,123,223
4765.0,131,150
4766.0,134,285
4766.0,511,762
4766.0,131,150
4767.0,15,123
4767.0,131,150
4768.0,15,123
4768.0,131,150
4769.0,131,150
4770.0,131,150
4771.0,131,150
4772.0,131,150
4773.0,120,196
4773.0,131,150
4774.0,120,196
4774.0,131,150
4774.0,271,533
4775.0,120,196
4775.0,131,150
4775.0,271,533
4776.0,131,150
4777.0,131,271
4777.0,150,271
4777.0,131,150
4778.0,150,271
4779.0,150,271
4780.0,150,271
4781.0,150,271
4782.0,150,271
4783.0,150,271
4784.0,222,267
4784.0,150,271
4785.0,222,267
4785.0,150,271
4788.0,150,271
4789.0,150,271
4796.0,150,271
4797.0,150,271
4798.0,150,271
4799.0,222,267
4799.0,150,271
4800.0,150,271
4801.0,150,271
4820.0,131,185
4831.0,271,492
4852.0,211,268
4857.0,120,494
4858.0,120,494
4859.0,120,494
4860.0,120,494
4861.0,120,494
4862.0,120,494
4863.0,120,494
4864.0,120,494
4865.0,120,494
4866.0,120,494
4867.0,120,494
4868.0,120,494
4869.0,120,494
4870.0,120,494
4871.0,120,494
4872.0,120,494
4873.0,285,875
4873.0,120,494
4874.0,120,494
4875.0,120,494
4878.0,119,448
4878.0,120,494
4879.0,119,448
4887.0,120,494
4888.0,120,494
4889.0,120,494
4890.0,120,494
4891.0,120,494
4894.0,222,267
4894.0,120,494
4895.0,511,771
4895.0,120,494
4896.0,120,494
4899.0,209,875
4903.0,154,939
4907.0,335,771
4910.0,95,120
4911.0,95,120
4912.0,95,120
4913.0,95,205
4916.0,119,804
4923.0,95,205
4930.0,95,311
4934.0,95,311
4935.0,95,311
4937.0,95,311
4938.0,95,311
4939.0,95,311
4940.0,95,311
4941.0,95,311
4942.0,95,311
4943.0,95,311
4944.0,95,311
4945.0,120,196
4945.0,95,311
4946.0,95,311
4947.0,95,311
4948.0,95,311
4949.0,95,311
4950.0,95,311
4951.0,95,311
4952.0,95,311
4953.0,95,311
4954.0,95,311
4955.0,95,311
4956.0,95,311
4957.0,95,311
4958.0,95,311
4959.0,119,448
4959.0,95,311
4960.0,95,311
4961.0,95,311
4962.0,95,311
4963.0,95,311
4964.0,95,311
4965.0,95,311
4966.0,95,311
4967.0,95,311
4968.0,95,311
4969.0,95,311
4970.0,119,448
4970.0,95,311
4971.0,95,311
4972.0,95,311
4973.0,95,311
4974.0,95,311
4975.0,95,311
4976.0,95,311
4977.0,95,311
4978.0,95,311
4979.0,95,311
4980.0,95,311
4981.0,95,311
4982.0,95,311
4983.0,95,311
4984.0,119,448
4984.0,95,311
4985.0,119,448
4985.0,95,311
4986.0,95,311
4987.0,119,448
4987.0,95,311
4988.0,95,311
4989.0,95,311
4990.0,95,311
4991.0,95,311
4992.0,119,448
4992.0,95,311
4993.0,95,311
4994.0,95,311
4995.0,95,311
4996.0,95,311
4997.0,95,311
4998.0,95,311
4999.0,119,762
5001.0,119,762
5002.0,119,762
5006.0,119,762
5007.0,95,311
5008.0,95,311
5009.0,95,311
5010.0,95,311
5011.0,95,311
5012.0,95,311
5013.0,95,311
5014.0,95,311
5015.0,95,311
5016.0,95,311
5017.0,95,311
5018.0,95,311
5019.0,95,311
5020.0,95,311
5021.0,131,778
5021.0,95,311
5022.0,95,311
5033.0,335,762
5036.0,335,762
5061.0,63,481
5065.0,63,481
5098.0,131,751
5102.0,79,222
5128.0,762,771
5135.0,80,826
5135.0,79,826
5146.0,271,481
5147.0,762,771
5148.0,762,771
5182.0,494,765
5224.0,762,771
5225.0,335,771
5229.0,196,311
5235.0,196,311
5237.0,196,311
5245.0,196,311
5247.0,63,481
5248.0,63,481
5249.0,63,481
5252.0,335,771
5252.0,762,771
5255.0,63,481
5256.0,63,481
5257.0,196,223
5257.0,63,481
5257.0,196,311
5258.0,196,223
5258.0,63,481
5258.0,196,311
5259.0,63,481
5260.0,63,481
5261.0,63,481
5262.0,63,481
5263.0,63,481
5265.0,63,481
5267.0,196,311
5268.0,63,481
5269.0,63,481
5270.0,196,223
5271.0,196,311
5272.0,63,481
5272.0,223,311
5273.0,63,481
5273.0,196,311
5274.0,63,481
5275.0,63,481
5276.0,63,481
5276.0,196,311
5277.0,63,481
5278.0,265,751
5278.0,63,481
5279.0,265,751
5279.0,63,481
5280.0,265,751
5280.0,63,481
5281.0,265,751
5281.0,63,481
5282.0,63,481
5283.0,196,223
5284.0,196,223
5284.0,63,481
5285.0,196,223
5285.0,63,481
5286.0,196,223
5286.0,63,481
5287.0,196,223
5287.0,63,481
5288.0,196,223
5288.0,63,481
5288.0,56,265
5289.0,265,751
5289.0,196,223
5289.0,63,481
5290.0,196,223
5290.0,63,481
5291.0,196,223
5291.0,63,481
5292.0,196,223
5292.0,63,481
5293.0,196,223
5293.0,63,481
5294.0,196,223
5294.0,63,481
5294.0,751,778
5295.0,63,481
5296.0,63,481
5297.0,63,481
5297.0,56,205
5297.0,95,223
5298.0,63,481
5298.0,56,205
5299.0,63,481
5299.0,56,205
5300.0,265,751
5300.0,271,601
5300.0,153,492
5300.0,56,205
5301.0,271,601
5301.0,63,481
5302.0,56,819
